time	timestamp	mf
2021-09-14 11:00:00	1631617200	14097023
2021-09-14 12:00:00	1631620800	14097109
2021-09-14 17:00:00	1631638800	14097122
2021-09-14 20:00:00	1631649600	14097182
2021-09-14 21:00:00	1631653200	14097202
2021-09-14 22:00:00	1631656800	14097200
2021-09-14 23:00:00	1631660400	14097184
2021-09-15 00:00:00	1631664000	10140158
2021-09-15 20:00:00	1631736000	14097066
2021-09-15 21:00:00	1631739600	14097052
2021-09-15 22:00:00	1631743200	10140208
2021-09-15 23:00:00	1631746800	10140208
2021-09-16 05:00:00	1631768400	7040009
2021-09-16 21:00:00	1631826000	10140198
2021-09-16 22:00:00	1631829600	10140216
2021-09-16 23:00:00	1631833200	10140199
2021-09-17 07:00:00	1631862000	10140215
2021-09-17 08:00:00	1631865600	10140199
2021-09-17 11:00:00	1631876400	14097187
2021-09-17 12:00:00	1631880000	14097193
2021-09-17 13:00:00	1631883600	14097187
2021-09-17 14:00:00	1631887200	14097187
2021-09-17 15:00:00	1631890800	14097188
2021-09-17 16:00:00	1631894400	14097186
2021-09-17 17:00:00	1631898000	14097186
2021-09-17 18:00:00	1631901600	14097110
2021-09-17 19:00:00	1631905200	14097167
2021-09-17 20:00:00	1631908800	14097039
2021-09-18 11:00:00	1631962800	14097035
2021-09-18 12:00:00	1631966400	14097182
2021-09-18 13:00:00	1631970000	14097185
2021-09-18 14:00:00	1631973600	14097176
2021-09-18 17:00:00	1631984400	14097185
2021-09-18 18:00:00	1631988000	14097184
2021-09-18 19:00:00	1631991600	14097185
2021-09-18 21:00:00	1631998800	10140202
2021-09-18 22:00:00	1632002400	10140208
2021-09-18 23:00:00	1632006000	10140203
2021-09-19 07:00:00	1632034800	10140200
2021-09-19 08:00:00	1632038400	10140224
2021-09-19 09:00:00	1632042000	10140201
2021-09-19 11:00:00	1632049200	14097051
2021-09-19 13:00:00	1632056400	14097182
2021-09-19 20:00:00	1632081600	10140200
2021-09-19 21:00:00	1632085200	10140213
2021-09-19 22:00:00	1632088800	14096992
2021-09-19 23:00:00	1632092400	10140210
2021-09-20 04:00:00	1632110400	3570054
2021-09-20 05:00:00	1632114000	3570041
2021-09-20 12:00:00	1632139200	18106112
2021-09-20 13:00:00	1632142800	18106112
2021-09-20 14:00:00	1632146400	18106125
2021-09-20 15:00:00	1632150000	18106127
2021-09-20 18:00:00	1632160800	18106126
2021-09-20 21:00:00	1632171600	10140211
2021-09-20 22:00:00	1632175200	10140221
2021-09-20 23:00:00	1632178800	10140209
2021-09-21 01:00:00	1632186000	7040074
2021-09-21 02:00:00	1632189600	7040073
2021-09-21 03:00:00	1632193200	7040073
2021-09-21 04:00:00	1632196800	7040154
2021-09-21 05:00:00	1632200400	5288741
2021-09-21 06:00:00	1632204000	5288741
2021-09-21 08:00:00	1632211200	10140204
2021-09-21 12:00:00	1632225600	18106103
2021-09-21 13:00:00	1632229200	18106102
2021-09-21 16:00:00	1632240000	18106109
2021-09-21 18:00:00	1632247200	18106106
2021-09-21 19:00:00	1632250800	14097182
2021-09-21 21:00:00	1632258000	18106101
2021-09-21 22:00:00	1632261600	18106101
2021-09-21 23:00:00	1632265200	18106100
2021-09-22 00:00:00	1632268800	10140210
2021-09-22 05:00:00	1632286800	7040152
2021-09-22 07:00:00	1632294000	7040153
2021-09-22 13:00:00	1632315600	14097151
2021-09-22 14:00:00	1632319200	14097182
2021-09-22 16:00:00	1632326400	14097163
2021-09-22 20:00:00	1632340800	10140189
2021-09-22 21:00:00	1632344400	10140199
2021-09-22 22:00:00	1632348000	10140200
2021-09-23 05:00:00	1632373200	7040056
2021-09-23 06:00:00	1632376800	7040099
2021-09-23 07:00:00	1632380400	7040049
2021-09-23 08:00:00	1632384000	10140210
2021-09-23 14:00:00	1632405600	14097171
2021-09-23 16:00:00	1632412800	14097166
2021-09-23 17:00:00	1632416400	14097160
2021-09-23 20:00:00	1632427200	14097175
2021-09-23 21:00:00	1632430800	14097196
2021-09-23 22:00:00	1632434400	14097060
2021-09-23 23:00:00	1632438000	10140200
2021-09-24 02:00:00	1632448800	7040102
2021-09-24 03:00:00	1632452400	7040014
2021-09-24 05:00:00	1632459600	7040113
2021-09-24 06:00:00	1632463200	7040017
2021-09-24 08:00:00	1632470400	10140204
2021-09-24 13:00:00	1632488400	14097207
2021-09-24 21:00:00	1632517200	14097015
2021-09-24 22:00:00	1632520800	10140209
2021-09-25 04:00:00	1632542400	7040121
2021-09-25 08:00:00	1632556800	10140200
2021-09-25 14:00:00	1632578400	18106114
2021-09-25 15:00:00	1632582000	18106145
2021-09-25 16:00:00	1632585600	18106114
2021-09-25 17:00:00	1632589200	18106107
2021-09-25 18:00:00	1632592800	18106107
2021-09-25 19:00:00	1632596400	18106113
2021-09-25 20:00:00	1632600000	18106145
2021-09-25 21:00:00	1632603600	14097166
2021-09-25 22:00:00	1632607200	10140209
2021-09-25 23:00:00	1632610800	10140204
2021-09-26 03:00:00	1632625200	7040116
2021-09-26 04:00:00	1632628800	7040092
2021-09-26 05:00:00	1632632400	7040092
2021-09-26 06:00:00	1632636000	10140208
2021-09-26 07:00:00	1632639600	7040006
2021-09-26 08:00:00	1632643200	7040006
2021-09-26 09:00:00	1632646800	10140208
2021-09-26 10:00:00	1632650400	10140210
2021-09-26 11:00:00	1632654000	14097212
2021-09-26 12:00:00	1632657600	18106113
2021-09-26 13:00:00	1632661200	18106119
2021-09-26 14:00:00	1632664800	18106113
2021-09-26 15:00:00	1632668400	18106114
2021-09-26 16:00:00	1632672000	18106112
2021-09-26 17:00:00	1632675600	18106110
2021-09-26 18:00:00	1632679200	18106107
2021-09-26 19:00:00	1632682800	18106107
2021-09-26 20:00:00	1632686400	10140209
2021-09-26 21:00:00	1632690000	10140213
2021-09-26 22:00:00	1632693600	10140214
2021-09-26 23:00:00	1632697200	10140209
2021-09-27 04:00:00	1632715200	7040113
2021-09-27 06:00:00	1632722400	10140210
2021-09-27 07:00:00	1632726000	10140209
2021-09-27 12:00:00	1632744000	18106109
2021-09-27 13:00:00	1632747600	18106119
2021-09-27 14:00:00	1632751200	18106157
2021-09-27 15:00:00	1632754800	18106117
2021-09-27 16:00:00	1632758400	18106111
2021-09-27 17:00:00	1632762000	18106118
2021-09-27 18:00:00	1632765600	18106108
2021-09-27 19:00:00	1632769200	18106102
2021-09-27 20:00:00	1632772800	18106102
2021-09-27 21:00:00	1632776400	18106101
2021-09-27 22:00:00	1632780000	18106102
2021-09-27 23:00:00	1632783600	10140232
2021-09-28 00:00:00	1632787200	10140214
2021-09-28 01:00:00	1632790800	10140231
2021-09-28 02:00:00	1632794400	10140205
2021-09-28 06:00:00	1632808800	10140210
2021-09-28 10:00:00	1632823200	10140209
2021-09-28 13:00:00	1632834000	18106108
2021-09-28 15:00:00	1632841200	18106106
2021-09-28 16:00:00	1632844800	18106104
2021-09-28 17:00:00	1632848400	18106103
2021-09-28 18:00:00	1632852000	18106107
2021-09-28 19:00:00	1632855600	18106106
2021-09-28 20:00:00	1632859200	18106106
2021-09-28 21:00:00	1632862800	10140211
2021-09-28 22:00:00	1632866400	10140210
2021-09-28 23:00:00	1632870000	10140207
2021-09-29 06:00:00	1632895200	10140209
2021-09-29 07:00:00	1632898800	10140209
2021-09-29 09:00:00	1632906000	14097204
2021-09-29 12:00:00	1632916800	18106102
2021-09-29 13:00:00	1632920400	18106106
2021-09-29 14:00:00	1632924000	18106107
2021-09-29 15:00:00	1632927600	24926087
2021-09-29 16:00:00	1632931200	18106112
2021-09-29 17:00:00	1632934800	18106100
2021-09-29 18:00:00	1632938400	18106112
2021-09-29 19:00:00	1632942000	18106112
2021-09-29 21:00:00	1632949200	10140210
2021-09-29 22:00:00	1632952800	10140264
2021-09-29 23:00:00	1632956400	10140262
2021-09-30 00:00:00	1632960000	10140262
2021-09-30 01:00:00	1632963600	10140202
2021-09-30 04:00:00	1632974400	7040101
2021-09-30 05:00:00	1632978000	7040113
2021-09-30 06:00:00	1632981600	7040121
2021-09-30 12:00:00	1633003200	14097128
2021-09-30 13:00:00	1633006800	18106103
2021-09-30 14:00:00	1633010400	18106104
2021-09-30 15:00:00	1633014000	18106105
2021-09-30 16:00:00	1633017600	14097057
2021-09-30 17:00:00	1633021200	18106103
2021-09-30 18:00:00	1633024800	18106106
2021-09-30 19:00:00	1633028400	14097133
2021-09-30 20:00:00	1633032000	18106104
2021-09-30 21:00:00	1633035600	18106140
2021-09-30 22:00:00	1633039200	14097043
2021-09-30 23:00:00	1633042800	10140211
2021-10-01 00:00:00	1633046400	10140211
2021-10-01 01:00:00	1633050000	10140210
2021-10-01 02:00:00	1633053600	10140211
2021-10-01 03:00:00	1633057200	10140209
2021-10-01 04:00:00	1633060800	10140209
2021-10-01 05:00:00	1633064400	10140208
2021-10-01 08:00:00	1633075200	10140209
2021-10-01 09:00:00	1633078800	10140211
2021-10-01 12:00:00	1633089600	18106102
2021-10-01 13:00:00	1633093200	18106106
2021-10-01 14:00:00	1633096800	18106115
2021-10-01 15:00:00	1633100400	18106154
2021-10-01 16:00:00	1633104000	18106155
2021-10-01 17:00:00	1633107600	18106114
2021-10-01 18:00:00	1633111200	18106104
2021-10-01 19:00:00	1633114800	18106139
2021-10-01 20:00:00	1633118400	18106138
2021-10-01 21:00:00	1633122000	18106155
2021-10-01 22:00:00	1633125600	14097083
2021-10-01 23:00:00	1633129200	10140211
2021-10-02 00:00:00	1633132800	10140208
2021-10-02 01:00:00	1633136400	10140208
2021-10-02 03:00:00	1633143600	7040113
2021-10-02 04:00:00	1633147200	10140208
2021-10-02 05:00:00	1633150800	10140208
2021-10-02 06:00:00	1633154400	10140148
2021-10-02 09:00:00	1633165200	10140211
2021-10-02 11:00:00	1633172400	18106092
2021-10-02 12:00:00	1633176000	18106114
2021-10-02 13:00:00	1633179600	18106025
2021-10-02 14:00:00	1633183200	18106102
2021-10-02 15:00:00	1633186800	18106089
2021-10-02 16:00:00	1633190400	18106108
2021-10-02 17:00:00	1633194000	18106091
2021-10-02 18:00:00	1633197600	18106099
2021-10-02 19:00:00	1633201200	18106100
2021-10-02 20:00:00	1633204800	18106113
2021-10-02 21:00:00	1633208400	18106100
2021-10-02 22:00:00	1633212000	14097016
2021-10-02 23:00:00	1633215600	10140210
2021-10-03 00:00:00	1633219200	10140211
2021-10-03 01:00:00	1633222800	10140211
2021-10-03 03:00:00	1633230000	10140208
2021-10-03 04:00:00	1633233600	10140208
2021-10-03 05:00:00	1633237200	10140203
2021-10-03 07:00:00	1633244400	10140209
2021-10-03 09:00:00	1633251600	10140207
2021-10-03 10:00:00	1633255200	10140209
2021-10-03 11:00:00	1633258800	14097145
2021-10-03 13:00:00	1633266000	18106112
2021-10-03 14:00:00	1633269600	18106156
2021-10-03 15:00:00	1633273200	18106116
2021-10-03 16:00:00	1633276800	18106111
2021-10-03 17:00:00	1633280400	18106097
2021-10-03 18:00:00	1633284000	18106097
2021-10-03 19:00:00	1633287600	18106092
2021-10-03 20:00:00	1633291200	18106091
2021-10-03 21:00:00	1633294800	14097015
2021-10-03 22:00:00	1633298400	10140210
2021-10-03 23:00:00	1633302000	10140211
2021-10-04 00:00:00	1633305600	10140211
2021-10-04 01:00:00	1633309200	10140207
2021-10-04 02:00:00	1633312800	10140213
2021-10-04 03:00:00	1633316400	10140199
2021-10-04 04:00:00	1633320000	7040102
2021-10-04 05:00:00	1633323600	7040084
2021-10-04 06:00:00	1633327200	7040138
2021-10-04 07:00:00	1633330800	7040138
2021-10-04 11:00:00	1633345200	14097040
2021-10-04 12:00:00	1633348800	18106112
2021-10-04 13:00:00	1633352400	18106115
2021-10-04 14:00:00	1633356000	18106112
2021-10-04 15:00:00	1633359600	18106115
2021-10-04 16:00:00	1633363200	18106111
2021-10-04 17:00:00	1633366800	18106106
2021-10-04 20:00:00	1633377600	18106099
2021-10-04 21:00:00	1633381200	10140275
2021-10-04 22:00:00	1633384800	10140273
2021-10-04 23:00:00	1633388400	10140270
2021-10-05 00:00:00	1633392000	10140270
2021-10-05 01:00:00	1633395600	10140208
2021-10-05 02:00:00	1633399200	10140208
2021-10-05 03:00:00	1633402800	10140201
2021-10-05 04:00:00	1633406400	10140208
2021-10-05 06:00:00	1633413600	7040106
2021-10-05 12:00:00	1633435200	18106111
2021-10-05 13:00:00	1633438800	18106116
2021-10-05 14:00:00	1633442400	18106120
2021-10-05 15:00:00	1633446000	21096081
2021-10-05 16:00:00	1633449600	18106111
2021-10-05 17:00:00	1633453200	18106101
2021-10-05 18:00:00	1633456800	18106102
2021-10-05 19:00:00	1633460400	18106109
2021-10-05 20:00:00	1633464000	18106112
2021-10-05 21:00:00	1633467600	14097012
2021-10-05 22:00:00	1633471200	10140212
2021-10-05 23:00:00	1633474800	10140210
2021-10-06 00:00:00	1633478400	10140208
2021-10-06 01:00:00	1633482000	10140212
2021-10-06 02:00:00	1633485600	10140208
2021-10-06 03:00:00	1633489200	10140208
2021-10-06 04:00:00	1633492800	10140208
2021-10-06 07:00:00	1633503600	7040169
2021-10-06 08:00:00	1633507200	10140208
2021-10-06 12:00:00	1633521600	18106120
2021-10-06 13:00:00	1633525200	18106120
2021-10-06 14:00:00	1633528800	18106157
2021-10-06 15:00:00	1633532400	18106119
2021-10-06 16:00:00	1633536000	18106119
2021-10-06 17:00:00	1633539600	18106111
2021-10-06 18:00:00	1633543200	18106110
2021-10-06 19:00:00	1633546800	18106110
2021-10-06 20:00:00	1633550400	18106100
2021-10-06 21:00:00	1633554000	18106100
2021-10-06 22:00:00	1633557600	10140211
2021-10-06 23:00:00	1633561200	10140203
2021-10-07 03:00:00	1633575600	7040114
2021-10-07 04:00:00	1633579200	7040114
2021-10-07 05:00:00	1633582800	7040113
2021-10-07 06:00:00	1633586400	7040113
2021-10-07 07:00:00	1633590000	7040169
2021-10-07 08:00:00	1633593600	10140208
2021-10-07 09:00:00	1633597200	10140208
2021-10-07 12:00:00	1633608000	14097142
2021-10-07 13:00:00	1633611600	18106107
2021-10-07 14:00:00	1633615200	18106116
2021-10-07 15:00:00	1633618800	18106116
2021-10-07 16:00:00	1633622400	18106102
2021-10-07 17:00:00	1633626000	18106159
2021-10-07 18:00:00	1633629600	18106101
2021-10-07 19:00:00	1633633200	18106160
2021-10-07 20:00:00	1633636800	14097139
2021-10-07 21:00:00	1633640400	18106106
2021-10-07 22:00:00	1633644000	18106105
2021-10-07 23:00:00	1633647600	10140208
2021-10-08 01:00:00	1633654800	10140203
2021-10-08 02:00:00	1633658400	10140208
2021-10-08 03:00:00	1633662000	7040114
2021-10-08 04:00:00	1633665600	10140208
2021-10-08 05:00:00	1633669200	7040137
2021-10-08 06:00:00	1633672800	10140208
2021-10-08 07:00:00	1633676400	10140206
2021-10-08 08:00:00	1633680000	10140208
2021-10-08 10:00:00	1633687200	10140208
2021-10-08 12:00:00	1633694400	18106121
2021-10-08 13:00:00	1633698000	18106118
2021-10-08 14:00:00	1633701600	18106104
2021-10-08 15:00:00	1633705200	18106117
2021-10-08 16:00:00	1633708800	18106104
2021-10-08 17:00:00	1633712400	18106116
2021-10-08 18:00:00	1633716000	18106105
2021-10-08 19:00:00	1633719600	18106103
2021-10-08 20:00:00	1633723200	18106101
2021-10-08 21:00:00	1633726800	10140207
2021-10-08 22:00:00	1633730400	10140202
2021-10-09 03:00:00	1633748400	7040121
2021-10-09 04:00:00	1633752000	10140201
2021-10-09 05:00:00	1633755600	7040113
2021-10-09 06:00:00	1633759200	10140116
2021-10-09 08:00:00	1633766400	10140208
2021-10-09 12:00:00	1633780800	18106114
2021-10-09 13:00:00	1633784400	18106105
2021-10-09 14:00:00	1633788000	18106112
2021-10-09 15:00:00	1633791600	18106113
2021-10-09 16:00:00	1633795200	18106113
2021-10-09 17:00:00	1633798800	18106102
2021-10-09 18:00:00	1633802400	18106099
2021-10-09 19:00:00	1633806000	18106103
2021-10-09 20:00:00	1633809600	18106101
2021-10-09 21:00:00	1633813200	10140207
2021-10-09 22:00:00	1633816800	10140203
2021-10-09 23:00:00	1633820400	10140208
2021-10-10 01:00:00	1633827600	10140207
2021-10-10 02:00:00	1633831200	10140208
2021-10-10 04:00:00	1633838400	10140207
2021-10-10 06:00:00	1633845600	7040167
2021-10-10 12:00:00	1633867200	18106103
2021-10-10 13:00:00	1633870800	18106117
2021-10-10 14:00:00	1633874400	18106117
2021-10-10 15:00:00	1633878000	28126183
2021-10-10 16:00:00	1633881600	18106105
2021-10-10 17:00:00	1633885200	18106102
2021-10-10 18:00:00	1633888800	18106101
2021-10-10 19:00:00	1633892400	18106101
2021-10-10 20:00:00	1633896000	18106100
2021-10-10 21:00:00	1633899600	10140202
2021-10-10 22:00:00	1633903200	10140203
2021-10-10 23:00:00	1633906800	10140203
2021-10-11 00:00:00	1633910400	7040104
2021-10-11 01:00:00	1633914000	7040104
2021-10-11 02:00:00	1633917600	7040113
2021-10-11 06:00:00	1633932000	7040167
2021-10-11 07:00:00	1633935600	10140202
2021-10-11 12:00:00	1633953600	18106107
2021-10-11 13:00:00	1633957200	18106108
2021-10-11 14:00:00	1633960800	18106109
2021-10-11 15:00:00	1633964400	18106111
2021-10-11 16:00:00	1633968000	18106105
2021-10-11 17:00:00	1633971600	18106100
2021-10-11 19:00:00	1633978800	18106104
2021-10-11 20:00:00	1633982400	10140202
2021-10-11 21:00:00	1633986000	10140211
2021-10-11 22:00:00	1633989600	10140211
2021-10-11 23:00:00	1633993200	10140213
2021-10-12 21:00:00	1634072400	10140200
2021-10-13 12:00:00	1634126400	18106098
2021-10-13 13:00:00	1634130000	18106104
2021-10-13 14:00:00	1634133600	18106115
2021-10-13 15:00:00	1634137200	18106115
2021-10-13 16:00:00	1634140800	18106101
2021-10-13 17:00:00	1634144400	18106100
2021-10-13 18:00:00	1634148000	18106100
2021-10-13 21:00:00	1634158800	10140203
2021-10-13 22:00:00	1634162400	10140203
2021-10-13 23:00:00	1634166000	10140203
2021-10-14 13:00:00	1634216400	18106117
2021-10-14 14:00:00	1634220000	18106106
2021-10-14 15:00:00	1634223600	18106116
2021-10-14 16:00:00	1634227200	18106101
2021-10-14 17:00:00	1634230800	18106096
2021-10-14 20:00:00	1634241600	10140203
2021-10-14 21:00:00	1634245200	10140211
2021-10-14 22:00:00	1634248800	10140211
2021-10-14 23:00:00	1634252400	10140210
2021-10-15 02:00:00	1634263200	7040132
2021-10-15 05:00:00	1634274000	3570055
2021-10-15 12:00:00	1634299200	18106117
2021-10-15 13:00:00	1634302800	18106117
2021-10-15 14:00:00	1634306400	18106105
2021-10-15 15:00:00	1634310000	14097134
2021-10-15 16:00:00	1634313600	18106104
2021-10-15 17:00:00	1634317200	18106098
2021-10-15 18:00:00	1634320800	14097005
2021-10-15 21:00:00	1634331600	10140202
2021-10-15 22:00:00	1634335200	10140202
2021-10-16 04:00:00	1634356800	7040113
2021-10-16 08:00:00	1634371200	10140211
2021-10-16 09:00:00	1634374800	10140211
2021-10-16 11:00:00	1634382000	18106103
2021-10-16 12:00:00	1634385600	18106108
2021-10-16 13:00:00	1634389200	18106118
2021-10-16 14:00:00	1634392800	18106119
2021-10-16 15:00:00	1634396400	18106112
2021-10-16 16:00:00	1634400000	18106106
2021-10-16 17:00:00	1634403600	18106101
2021-10-16 18:00:00	1634407200	18106102
2021-10-16 21:00:00	1634418000	10140202
2021-10-16 22:00:00	1634421600	10140210
2021-10-16 23:00:00	1634425200	10140214
2021-10-17 00:00:00	1634428800	10140211
2021-10-17 01:00:00	1634432400	10140214
2021-10-17 02:00:00	1634436000	7040121
2021-10-17 03:00:00	1634439600	7040156
2021-10-17 04:00:00	1634443200	7040120
